         4809926 function calls (4665996 primitive calls) in 94.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.122    0.031 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/dufunc.py:267(add)
        4    0.000    0.000    0.122    0.031 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/dufunc.py:320(_compile_for_argtys)
        6    0.122    0.020    0.122    0.020 {method 'cpu' of 'torch._C.TensorBase' objects}
     1364    0.030    0.000    0.121    0.000 /home/ali/venv/lib/python3.12/site-packages/torchvision/transforms/_functional_tensor.py:905(normalize)
        4    0.000    0.000    0.112    0.028 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/ufuncbuilder.py:196(_build_element_wise_ufunc_wrapper)
     3488    0.023    0.000    0.112    0.000 /usr/lib/python3.12/subprocess.py:1688(_get_handles)
     8268    0.067    0.000    0.109    0.000 {built-in method _io.open}
      440    0.009    0.000    0.106    0.000 /home/ali/venv/lib/python3.12/site-packages/librosa/feature/spectral.py:799(rms)
275910/275483    0.061    0.000    0.105    0.000 {built-in method builtins.hasattr}
     3210    0.025    0.000    0.105    0.000 {built-in method numpy.array}
      884    0.012    0.000    0.105    0.000 {built-in method _warnings.warn}
       40    0.000    0.000    0.102    0.003 /home/ali/venv/lib/python3.12/site-packages/numba/core/caching.py:638(_load_overload)
      880    0.001    0.000    0.092    0.000 /usr/lib/python3.12/warnings.py:97(_showwarnmsg)
      880    0.003    0.000    0.090    0.000 /usr/lib/python3.12/logging/__init__.py:2311(_showwarning)
     3488    0.024    0.000    0.088    0.000 /usr/lib/python3.12/subprocess.py:1282(_close_pipe_fds)
       40    0.000    0.000    0.087    0.002 /home/ali/venv/lib/python3.12/site-packages/numba/core/codegen.py:1157(unserialize_library)
      109    0.002    0.000    0.086    0.001 /home/ali/venv/lib/python3.12/site-packages/scipy/stats/_distn_infrastructure.py:1841(__init__)
   300/40    0.000    0.000    0.084    0.002 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/context.py:153(refresh)
       40    0.000    0.000    0.084    0.002 /home/ali/venv/lib/python3.12/site-packages/numba/core/codegen.py:925(_unserialize)
     1364    0.004    0.000    0.080    0.000 /home/ali/venv/lib/python3.12/site-packages/PIL/Image.py:747(__array_interface__)
14192/14169    0.010    0.000    0.079    0.000 /usr/lib/python3.12/threading.py:299(__enter__)
   436495    0.066    0.000    0.077    0.000 {built-in method builtins.isinstance}
      372    0.000    0.000    0.077    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/conv.py:553(forward)
        5    0.000    0.000    0.076    0.015 /home/ali/venv/lib/python3.12/site-packages/numba/core/codegen.py:739(finalize)
      372    0.000    0.000    0.076    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/conv.py:536(_conv_forward)
