         3789495 function calls (3566026 primitive calls) in 302.661 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  402/399    0.000    0.000    0.217    0.001 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/templates.py:606(generic)
       48    0.000    0.000    0.217    0.005 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:190(fx)
  402/399    0.001    0.000    0.216    0.001 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/templates.py:697(_get_impl)
      588    0.001    0.000    0.212    0.000 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:107(skip_frames)
    48/42    0.000    0.000    0.209    0.005 /home/ali/venv/lib/python3.12/site-packages/numba/core/typeinfer.py:575(__call__)
      481    0.000    0.000    0.207    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1317(convert)
        1    0.000    0.000    0.205    0.205 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/sparse.py:133(__init__)
        2    0.000    0.000    0.205    0.103 /home/ali/venv/lib/python3.12/site-packages/triton/backends/nvidia/compiler.py:322(hash)
        1    0.000    0.000    0.205    0.205 /home/ali/venv/lib/python3.12/site-packages/triton/backends/nvidia/compiler.py:33(get_ptxas_version)
  127/115    0.000    0.000    0.203    0.002 /home/ali/venv/lib/python3.12/site-packages/numba/core/lowering.py:650(lower_assign)
    47/46    0.000    0.000    0.203    0.004 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/templates.py:748(_build_impl)
    58104    0.069    0.000    0.202    0.000 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:320(is_playing)
      8/4    0.000    0.000    0.199    0.050 /home/ali/venv/lib/python3.12/site-packages/numba/core/types/functions.py:534(get_call_type)
      8/4    0.000    0.000    0.199    0.050 /home/ali/venv/lib/python3.12/site-packages/numba/core/dispatcher.py:303(get_call_template)
        1    0.000    0.000    0.198    0.198 /home/ali/venv/lib/python3.12/site-packages/triton/backends/nvidia/compiler.py:16(_path_to_binary)
       26    0.000    0.000    0.182    0.007 <decorator-gen-75>:1(fadeout)
       26    0.000    0.000    0.182    0.007 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/fx/fadeout.py:6(fadeout)
